INFO 2022-11-03 14:12:20,037 :  views 308737 Ldap Connection Failure from function <module> in line no. 72
ERROR 2022-11-03 14:12:20,038 :  views 308737 {'result': -1, 'desc': "Can't contact LDAP server", 'ctrls': []} from function <module> in line no. 73
DEBUG 2022-11-03 14:13:18,158 :  views 308737 Request For Get Environment With Token : apc1234 from function getEnvironment in line no. 795
DEBUG 2022-11-03 14:13:18,165 :  views 308737 Token Verify Successfully, Token : apc1234 from function getEnvironment in line no. 798
DEBUG 2022-11-03 14:13:18,167 :  views 308737 IP Address Verify Successfully, IP Address : 150.22.34.63 from function getEnvironment in line no. 804
INFO 2022-11-03 14:13:18,171 :  views 308737 Default Environment Fetched Successfully from function getEnvironment in line no. 856
DEBUG 2022-11-03 14:13:18,172 :  views 308737 Response : {'status': True, 'statusCode': 1806, 'message': 'Default Environment Fetched Successfully', 'data': {'fqdn': 'autoprovisioning.digivalet.com', 'url': 'https://autoprovisioning.digivalet.com/cloud/api', 'publicIp': '150.22.34.63', 'localIp': None}} from function getEnvironment in line no. 857
DEBUG 2022-11-03 14:14:19,643 :  views 308737 Request For Public Key With Token : apc1234 from function getPublicKey in line no. 955
DEBUG 2022-11-03 14:14:19,651 :  views 308737 Token Verify Successfully, Token : apc1234 from function getPublicKey in line no. 959
INFO 2022-11-03 14:14:19,652 :  views 308737 Public Key Fetched Successfully from function getPublicKey in line no. 966
DEBUG 2022-11-03 14:14:19,652 :  views 308737 Response : {'status': True, 'statusCode': 601, 'message': 'Public Key Fetched Successfully', 'data': 'MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAqq4waAJ0vd6Ri2ELgHUE8oNxiPHhOQUjOZ6Va59NeSOZ/xSB7DS84ywK2TccbTMs1C9bhlMCfjDqkQOYI6SQYbZaw/P55fFczovjz/zhGdV5CMooWoTyE3zCjaVsSduClP6VwxgLYUMPPhQG8KW62Hv3+YFkhi1tTxjCNvhI/MNDpXhW17ziDOCY+clfQ6kGpBtChm+JAK6S4rLgNrFuhv05RxwQoUmDyvMPMH64eNuTzpM6C6bCPfj8uNHbviEpzhM+JTd4RpPQneXyINcnrL7e+lHddTc2nPpFbpZkN4yqGJlNKWebJ2ifwbef6RcORzGJUwx1YpOVL3rgeHan/wIDAQAB'} from function getPublicKey in line no. 967
DEBUG 2022-11-03 14:41:27,274 :  views 308737 Request For Get Environment With Token : apc1234 from function getEnvironment in line no. 795
DEBUG 2022-11-03 14:41:27,283 :  views 308737 Token Verify Successfully, Token : apc1234 from function getEnvironment in line no. 798
DEBUG 2022-11-03 14:41:27,284 :  views 308737 IP Address Verify Successfully, IP Address : 150.22.34.63 from function getEnvironment in line no. 804
INFO 2022-11-03 14:41:27,288 :  views 308737 Default Environment Fetched Successfully from function getEnvironment in line no. 856
DEBUG 2022-11-03 14:41:27,289 :  views 308737 Response : {'status': True, 'statusCode': 1806, 'message': 'Default Environment Fetched Successfully', 'data': {'fqdn': 'autoprovisioning.digivalet.com', 'url': 'https://autoprovisioning.digivalet.com/cloud/api', 'publicIp': '150.22.34.63', 'localIp': None}} from function getEnvironment in line no. 857
DEBUG 2022-11-03 14:42:03,026 :  views 308737 User Login Successfully, user_name : rnduser from function login_view in line no. 30
DEBUG 2022-11-03 14:43:51,126 :  views 308737 Request For Public Key With Token : apc1234 from function getPublicKey in line no. 955
DEBUG 2022-11-03 14:43:51,135 :  views 308737 Token Verify Successfully, Token : apc1234 from function getPublicKey in line no. 959
INFO 2022-11-03 14:43:51,135 :  views 308737 Public Key Fetched Successfully from function getPublicKey in line no. 966
